Date : 2025-06-08 21:28:26
Directory : c:\Users\sd23097\Desktop\Tirobot_works
Total : 207 files,  2714782 codes, 8153 comments, 22258 blanks, all 2745193 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-dlight.h             | C++      |         92 |         83 |         34 |        209 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-flex.h               | C++      |        130 |         94 |         47 |        271 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-gps.h                | C++      |         96 |         88 |         40 |        224 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-imu.h                | C++      |        277 |        137 |         89 |        503 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-nxtchuck.h           | C++      |        202 |         68 |         50 |        320 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-pressure.h           | C++      |         35 |         76 |         30 |        141 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-temp.h               | C++      |         46 |         58 |         23 |        127 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-thermalir.h          | C++      |         85 |         67 |         43 |        195 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-wifi.h               | C++      |        337 |         89 |         81 |        507 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\eeprom.h                       | C++      |         43 |         61 |         26 |        130 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\firgelli-linearact-ramping.h   | C++      |        319 |        135 |         95 |        549 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\firgelli-linearact.h           | C++      |        216 |        122 |         70 |        408 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-accelerometer.h      | C++      |         54 |         67 |         27 |        148 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-angle.h              | C++      |        117 |         89 |         54 |        260 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-barometer.h          | C++      |         52 |         63 |         27 |        142 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-colour-v1.h          | C++      |        138 |        115 |         63 |        316 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-colour-v2.h          | C++      |        190 |        135 |         88 |        413 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-compass.h            | C++      |         87 |         99 |         44 |        230 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-eopd.h               | C++      |         53 |         87 |         25 |        165 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-force.h              | C++      |         19 |         44 |         13 |         76 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-gyro.h               | C++      |         72 |         94 |         33 |        199 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-irlink-rcx.h         | C++      |        168 |        147 |         59 |        374 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-irlink.h             | C++      |        206 |        166 |         64 |        436 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-irrecv.h             | C++      |         44 |         54 |         22 |        120 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-irseeker-v1.h        | C++      |         72 |         78 |         32 |        182 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-irseeker-v2.h        | C++      |        264 |        167 |        100 |        531 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-magfield.h           | C++      |         87 |         94 |         39 |        220 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-pir.h                | C++      |         45 |         56 |         26 |        127 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-protoboard.h         | C++      |        151 |        146 |         57 |        354 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-sensormux.h          | C++      |        226 |        140 |         79 |        445 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-superpro.h           | C++      |        110 |         96 |         45 |        251 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-touchmux.h           | C++      |         26 |         50 |         12 |         88 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\holitdata-motormux.h           | C++      |        192 |        182 |         82 |        456 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\humarobotics-wifiblock.h       | C++      |        569 |        302 |        175 |      1,046 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\lego-energymeter.h             | C++      |         29 |         58 |         18 |        105 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\lego-light.h                   | C++      |        199 |        119 |         60 |        378 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\lego-sound.h                   | C++      |         23 |         52 |         14 |         89 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\lego-temp.h                    | C++      |        158 |        159 |         66 |        383 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\lego-touch.h                   | C++      |         24 |         43 |         15 |         82 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\lego-ultrasound.h              | C++      |         81 |         83 |         42 |        206 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\math-matrix.h                  | C++      |        100 |        152 |         32 |        284 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\maxim-max127.h                 | C++      |         22 |         45 |         15 |         82 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\microchip-mcp23008.h           | C++      |         72 |         92 |         30 |        194 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\microinfinity-cruizcore.h      | C++      |         64 |         61 |         33 |        158 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mightyboard.h                  | C++      |         48 |          9 |         18 |         75 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindensors-servo.h             | C++      |         85 |         82 |         36 |        203 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-accelerometer.h    | C++      |         68 |         66 |         32 |        166 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-angle.h            | C++      |         55 |         56 |         32 |        143 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-hid.h              | C++      |         89 |         66 |         22 |        177 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-imu.h              | C++      |        116 |         87 |         48 |        251 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-irdist.h           | C++      |         87 |         79 |         45 |        211 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-lightsensorarray.h | C++      |         67 |         65 |         30 |        162 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-lineleader.h       | C++      |        226 |        317 |         98 |        641 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-magicwand.h        | C++      |         53 |         57 |         14 |        124 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-motormux.h         | C++      |        266 |        218 |         93 |        577 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-numericpad.h       | C++      |         85 |         56 |         42 |        183 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-nxtcam.h           | C++      |        189 |        148 |         59 |        396 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-pfmate.h           | C++      |         58 |         66 |         28 |        152 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-powermeter.h       | C++      |         69 |         86 |         39 |        194 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-pressure.h         | C++      |         82 |         87 |         40 |        209 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-ps2ctrl-v4.h       | C++      |        184 |        106 |         61 |        351 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-rcxmotormux.h      | C++      |         57 |         49 |         25 |        131 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-rcxsensorsmux.h    | C++      |         52 |         45 |         17 |        114 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-sensormux.h        | C++      |         65 |         53 |         27 |        145 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-sumoeyes.h         | C++      |         46 |         53 |         18 |        117 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-touchmux.h         | C++      |        103 |         63 |         25 |        191 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\mindsensors-touchpanel.h       | C++      |         68 |         76 |         30 |        174 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\philips-pcf8574.h              | C++      |         29 |         49 |         22 |        100 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\pid.h                          | C++      |        113 |         50 |         25 |        188 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\stats.h                        | C++      |         32 |         58 |         14 |        104 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\timer.h                        | C++      |         54 |         71 |         22 |        147 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\ultrasonic_UMX.h               | C++      |         40 |          1 |         12 |         53 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\library.h                              | C++      |        188 |          4 |         36 |        228 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\test.c                                 | C        |          9 |          1 |          2 |         12 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\testM.c                                | C        |         24 |          3 |          5 |         32 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\test_sub.h                             | C++      |        109 |          0 |         18 |        127 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\test_trace.c                           | C        |         18 |          1 |          3 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\run2017.c                                           | C        |        320 |         62 |         39 |        421 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\無題のフォルダ\Main.c                                      | C        |         37 |         13 |          6 |         56 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\無題のフォルダ\S_UMX.h                                     | C++      |        113 |         14 |         25 |        152 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\無題のフォルダ\Sub.h                                       | C++      |        252 |         23 |         40 |        315 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\無題のフォルダ\Sub_0309.N.h                                | C++      |        251 |         40 |         41 |        332 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\無題のフォルダ\i2c.h                                       | C++      |         20 |          1 |          8 |         29 |
| c:\Users\sd23097\Desktop\Tirobot_works\competition2\code.ipynb                                                                      | JSON     |        678 |          0 |          1 |        679 |
| c:\Users\sd23097\Desktop\Tirobot_works\competition2\competition1.ipynb                                                              | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\kaggle\house price\house price with df.ipynb                                                 | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\kaggle\house price\house-prices-advanced-regression-techniques\profile_df.html               | HTML     |    294,572 |          0 |         72 |    294,644 |
| c:\Users\sd23097\Desktop\Tirobot_works\kaggle\house price\house2.ipynb                                                              | JSON     |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\kaggle\titanic\titanic.ipynb                                                                 | JSON     |          1 |          0 |          0 |          1 |
| Total                                                                                                                               |          |  2,714,782 |      8,153 |     22,258 |  2,745,193 |
+-------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
